team_name,week,insertions,detachments
1_Payments Solutions (ZPS),2025-12-14,887,0
3_BD_Campaign design,2025-12-14,3161,0
Fulfillment – WMS,2025-12-14,1,0
1_FPX,2025-12-14,504,0
3_BD_Corporate Design,2025-12-14,34,0
1_Transactions,2025-12-14,40,0
Partner Tech,2025-12-14,2,0
<Drafts>,2025-12-14,4930,4
3_Design Ops,2025-12-14,22,0
2_Size & Fit,2025-12-14,2244,6
2_Loyalty_Plus Points Program,2025-12-14,170,0
3_ZDS,2025-12-14,4374,1
1_CXP_All,2025-12-14,1526,4
Partner Tech - Tech & Data Foundation,2025-12-14,4,0
3_Elephant Feed,2025-12-14,394,0
6. Grow,2025-12-14,8,0
TRADEBYTE,2025-12-14,73,0
2. Activate,2025-12-14,28,0
7_ZMS Creative,2025-12-14,211,0
3_Statement Release - M2,2025-12-14,341,0
ZMS PI&D Team,2025-12-14,482,0
Fulfillment - FFC,2025-12-14,30,0
4. Decide,2025-12-14,408,0
2_Propositions,2025-12-14,5900,0
3_The Studio,2025-12-14,3819,0
2_Size & Fit,2025-12-07,5454,6
6. Grow,2025-12-07,109,0
1_PRSB,2025-12-07,1523,0
3_BD_Campaign design,2025-12-07,9341,0
3_BD_Identity,2025-12-07,27,0
1_Transactions,2025-12-07,1695,4
3_Design Ops,2025-12-07,11,0
<Drafts>,2025-12-07,17087,9
1_Payments Solutions (ZPS),2025-12-07,1895,1
Partner Tech - Tech & Data Foundation,2025-12-07,626,0
3_ZDS,2025-12-07,21504,0
3_BD_Corporate Design,2025-12-07,23,0
Design Lobby,2025-12-07,36,0
7_Content Solutions,2025-12-07,4,0
TRADEBYTE,2025-12-07,67,0
3. Discover,2025-12-07,2,0
4. Decide,2025-12-07,3052,0
Partner Tech,2025-12-07,154,0
3_Elephant Feed,2025-12-07,3767,0
7. LUX,2025-12-07,26,0
2_Loyalty_Plus Points Program,2025-12-07,2481,4
7_ZMS Creative,2025-12-07,61,0
3_The Studio,2025-12-07,8471,5
ZMS PI&D Team,2025-12-07,139,0
3_Statement Release - M2,2025-12-07,227,0
1_CXP_All,2025-12-07,3434,4
2. Activate,2025-12-07,214,0
"Partner Tech - Partner Offers, Orders, Logistics, Analytics & Steering",2025-12-07,2,0
1_FPX,2025-12-07,3204,2
2_Propositions,2025-12-07,15643,1
2_Size & Fit,2025-11-30,3234,1
Design Lobby,2025-11-30,22,0
ZDS NEXT LIBRARIES,2025-11-30,20,1
1_PRSB,2025-11-30,1615,2
1_CXP_All,2025-11-30,2886,7
7_Content Solutions,2025-11-30,55,0
3_ZDS,2025-11-30,17254,0
2. Activate,2025-11-30,38,0
<Drafts>,2025-11-30,20675,12
Fulfillment - CuCa,2025-11-30,64,0
1_Transactions,2025-11-30,16350,1
1_Payments Solutions (ZPS),2025-11-30,443,2
3_Statement Release - M2,2025-11-30,386,0
"Partner Tech - Partner Offers, Orders, Logistics, Analytics & Steering",2025-11-30,1,0
1_FPX,2025-11-30,8495,2
Partner Tech - Tech & Data Foundation,2025-11-30,575,0
2_Propositions,2025-11-30,21163,13
3_The Studio,2025-11-30,11735,3
4. Decide,2025-11-30,676,0
6_Zeos,2025-11-30,7,0
3. Discover,2025-11-30,93,0
6. Grow,2025-11-30,173,0
Partner Tech_z - Zalando Direct (reference),2025-11-30,63,0
7_ZMS Creative,2025-11-30,313,0
TRADEBYTE,2025-11-30,148,0
3_Elephant Feed,2025-11-30,6292,1
ZMS PI&D Team,2025-11-30,2669,0
2_Loyalty_Plus Points Program,2025-11-30,5751,0
3_BD_Campaign design,2025-11-30,3792,0
3_BD_Identity,2025-11-30,1,0
Fulfillment – WMS,2025-11-30,68,0
Unified documentation,2025-11-30,22,0
3_BD_Identity,2025-11-23,34,0
Design Lobby,2025-11-23,454,0
4. Decide,2025-11-23,1125,0
2_Loyalty_Plus Points Program,2025-11-23,6722,1
TRADEBYTE,2025-11-23,273,1
1_Payments Solutions (ZPS),2025-11-23,3510,3
1_CXP_All,2025-11-23,4141,6
6. Grow,2025-11-23,36,0
2_Size & Fit,2025-11-23,3775,11
1_PRSB,2025-11-23,2258,0
Partner Tech - Articles,2025-11-23,2,0
"Partner Tech - Partner Offers, Orders, Logistics, Analytics & Steering",2025-11-23,7,0
7. LUX,2025-11-23,0,1
ZMS PI&D Team,2025-11-23,2572,2
Fulfillment - Transportation,2025-11-23,2,0
3_BD_Campaign design,2025-11-23,12749,0
Partner Tech,2025-11-23,1,0
Partner Tech - Tech & Data Foundation,2025-11-23,115,0
1_FPX,2025-11-23,6468,9
Fulfillment - FFC,2025-11-23,147,0
2_Propositions,2025-11-23,21700,7
<Drafts>,2025-11-23,17235,5
3_Elephant Feed,2025-11-23,2604,1
3_The Studio,2025-11-23,12776,5
3_BD_Performance design,2025-11-23,131,0
1_Transactions,2025-11-23,2623,1
7_ZMS Creative,2025-11-23,426,0
Collabary,2025-11-23,1,0
3_ZDS,2025-11-23,16641,11
Fulfillment - CuCa,2025-11-23,7,0
1_Payments Solutions (ZPS),2025-11-16,3515,1
TRADEBYTE,2025-11-16,624,0
5. Convert,2025-11-16,2,0
3_BD_Campaign design,2025-11-16,6070,0
Fulfillment - CuCa,2025-11-16,321,0
2_Propositions,2025-11-16,12885,26
2_Size & Fit,2025-11-16,15829,4
1_CXP_All,2025-11-16,6909,5
8. CFA - Overarching,2025-11-16,1,0
3_Elephant Feed,2025-11-16,1465,0
Fulfillment - FFC,2025-11-16,243,1
7_Content Solutions,2025-11-16,51,0
